"artistMbid"	"tagname"	"tagcount"
fd857293-5ab8-40de-b29e-55a69d4e4d0f	"alternative rock"	100
fd857293-5ab8-40de-b29e-55a69d4e4d0f	"rock"	83
fd857293-5ab8-40de-b29e-55a69d4e4d0f	"alternative"	70
fd857293-5ab8-40de-b29e-55a69d4e4d0f	"Progressive rock"	56
fd857293-5ab8-40de-b29e-55a69d4e4d0f	"indie"	42
fd857293-5ab8-40de-b29e-55a69d4e4d0f	"british"	22
fd857293-5ab8-40de-b29e-55a69d4e4d0f	"indie rock"	12
fd857293-5ab8-40de-b29e-55a69d4e4d0f	"britpop"	10
fd857293-5ab8-40de-b29e-55a69d4e4d0f	"Muse"	9
fd857293-5ab8-40de-b29e-55a69d4e4d0f	"Progressive"	4
fd857293-5ab8-40de-b29e-55a69d4e4d0f	"electronic"	3
286ec4c2-b5ca-4f85-b331-280a6d73dd14	"Bossa Nova"	100
286ec4c2-b5ca-4f85-b331-280a6d73dd14	"brazilian"	45
286ec4c2-b5ca-4f85-b331-280a6d73dd14	"jazz"	35
286ec4c2-b5ca-4f85-b331-280a6d73dd14	"mpb"	26
286ec4c2-b5ca-4f85-b331-280a6d73dd14	"brasil"	24
286ec4c2-b5ca-4f85-b331-280a6d73dd14	"brazil"	9
286ec4c2-b5ca-4f85-b331-280a6d73dd14	"latin"	8
286ec4c2-b5ca-4f85-b331-280a6d73dd14	"samba"	7
286ec4c2-b5ca-4f85-b331-280a6d73dd14	"guitar"	3
286ec4c2-b5ca-4f85-b331-280a6d73dd14	"world"	3
286ec4c2-b5ca-4f85-b331-280a6d73dd14	"Joao Gilberto"	3
65b785d9-499f-48e6-9063-3a1fd1bd488d	"Asian Underground"	100
65b785d9-499f-48e6-9063-3a1fd1bd488d	"Asian Fusion"	69
65b785d9-499f-48e6-9063-3a1fd1bd488d	"electronic"	65
65b785d9-499f-48e6-9063-3a1fd1bd488d	"world"	65
65b785d9-499f-48e6-9063-3a1fd1bd488d	"trip-hop"	43
65b785d9-499f-48e6-9063-3a1fd1bd488d	"electronica"	30
65b785d9-499f-48e6-9063-3a1fd1bd488d	"chillout"	26
65b785d9-499f-48e6-9063-3a1fd1bd488d	"Indian"	26
65b785d9-499f-48e6-9063-3a1fd1bd488d	"Fusion"	26
65b785d9-499f-48e6-9063-3a1fd1bd488d	"downtempo"	21
65b785d9-499f-48e6-9063-3a1fd1bd488d	"zrp"	17
668e5c58-903a-4aee-ba0d-9166a3bba4cc	"minimal"	100
668e5c58-903a-4aee-ba0d-9166a3bba4cc	"electronic"	89
668e5c58-903a-4aee-ba0d-9166a3bba4cc	"idm"	67
668e5c58-903a-4aee-ba0d-9166a3bba4cc	"techno"	53
668e5c58-903a-4aee-ba0d-9166a3bba4cc	"electronica"	42
668e5c58-903a-4aee-ba0d-9166a3bba4cc	"minimal techno"	25
668e5c58-903a-4aee-ba0d-9166a3bba4cc	"experimental"	21
668e5c58-903a-4aee-ba0d-9166a3bba4cc	"groove130"	17
668e5c58-903a-4aee-ba0d-9166a3bba4cc	"tech-house"	14
668e5c58-903a-4aee-ba0d-9166a3bba4cc	"rock"	14
668e5c58-903a-4aee-ba0d-9166a3bba4cc	"PostEverything"	10
8a7ca8b0-d23c-4eff-8fe9-6220ba5c9c76	"Lo-Fi"	100
8a7ca8b0-d23c-4eff-8fe9-6220ba5c9c76	"singer-songwriter"	87
8a7ca8b0-d23c-4eff-8fe9-6220ba5c9c76	"indie"	71
8a7ca8b0-d23c-4eff-8fe9-6220ba5c9c76	"folk"	65
8a7ca8b0-d23c-4eff-8fe9-6220ba5c9c76	"outsider"	44
8a7ca8b0-d23c-4eff-8fe9-6220ba5c9c76	"alternative"	12
8a7ca8b0-d23c-4eff-8fe9-6220ba5c9c76	"freak folk"	10
8a7ca8b0-d23c-4eff-8fe9-6220ba5c9c76	"pay attention"	9
8a7ca8b0-d23c-4eff-8fe9-6220ba5c9c76	"Recommended"	9
8a7ca8b0-d23c-4eff-8fe9-6220ba5c9c76	"kickasstic"	9
8a7ca8b0-d23c-4eff-8fe9-6220ba5c9c76	"american"	7
6035000d-b53b-4b01-b5a0-a7572c34e806	"jazz"	100
6035000d-b53b-4b01-b5a0-a7572c34e806	"bass"	64
6035000d-b53b-4b01-b5a0-a7572c34e806	"Fusion"	30
6035000d-b53b-4b01-b5a0-a7572c34e806	"Smooth Jazz"	26
6035000d-b53b-4b01-b5a0-a7572c34e806	"funk"	22
6035000d-b53b-4b01-b5a0-a7572c34e806	"jazz fusion"	11
6035000d-b53b-4b01-b5a0-a7572c34e806	"jazz bass"	10
6035000d-b53b-4b01-b5a0-a7572c34e806	"modern jazz"	7
6035000d-b53b-4b01-b5a0-a7572c34e806	"double bass"	6
6035000d-b53b-4b01-b5a0-a7572c34e806	"instrumental"	4
6035000d-b53b-4b01-b5a0-a7572c34e806	"christian mcbride"	4
ede0d8a0-0b0a-4ded-ae3c-affba301dae8	"jazz"	100
ede0d8a0-0b0a-4ded-ae3c-affba301dae8	"emusic"	66
ede0d8a0-0b0a-4ded-ae3c-affba301dae8	"guitar"	33
ede0d8a0-0b0a-4ded-ae3c-affba301dae8	"violin"	33
ede0d8a0-0b0a-4ded-ae3c-affba301dae8	"bass"	33
ede0d8a0-0b0a-4ded-ae3c-affba301dae8	"new music"	33
ede0d8a0-0b0a-4ded-ae3c-affba301dae8	"1981"	33
ede0d8a0-0b0a-4ded-ae3c-affba301dae8	"avant-jazz"	33
ede0d8a0-0b0a-4ded-ae3c-affba301dae8	"80"s"	33
ede0d8a0-0b0a-4ded-ae3c-affba301dae8	"jazz violin"	33
ede0d8a0-0b0a-4ded-ae3c-affba301dae8	"post free"	33
61a75fe6-c102-49bf-96b0-40a1b85c8e7c	"folk"	100
61a75fe6-c102-49bf-96b0-40a1b85c8e7c	"jug band"	66
61a75fe6-c102-49bf-96b0-40a1b85c8e7c	"jazz"	33
61a75fe6-c102-49bf-96b0-40a1b85c8e7c	"country"	33
61a75fe6-c102-49bf-96b0-40a1b85c8e7c	"blues"	33
61a75fe6-c102-49bf-96b0-40a1b85c8e7c	"world"	33
61a75fe6-c102-49bf-96b0-40a1b85c8e7c	"jug"	33
61a75fe6-c102-49bf-96b0-40a1b85c8e7c	"contemporary folk"	33
61a75fe6-c102-49bf-96b0-40a1b85c8e7c	"under 2000 listeners"	33
61a75fe6-c102-49bf-96b0-40a1b85c8e7c	"greenwich village folk"	33
344c5e8c-d4f1-4bec-8ff5-08ef100a9e5d	"industrial"	100
344c5e8c-d4f1-4bec-8ff5-08ef100a9e5d	"hardcore techno"	84
344c5e8c-d4f1-4bec-8ff5-08ef100a9e5d	"Gabber"	72
344c5e8c-d4f1-4bec-8ff5-08ef100a9e5d	"hardcore"	63
344c5e8c-d4f1-4bec-8ff5-08ef100a9e5d	"digital hardcore"	59
344c5e8c-d4f1-4bec-8ff5-08ef100a9e5d	"techno"	29
344c5e8c-d4f1-4bec-8ff5-08ef100a9e5d	"Industrial Techno"	11
344c5e8c-d4f1-4bec-8ff5-08ef100a9e5d	"electronic"	9
344c5e8c-d4f1-4bec-8ff5-08ef100a9e5d	"i like it rough"	9
344c5e8c-d4f1-4bec-8ff5-08ef100a9e5d	"alternative"	6
344c5e8c-d4f1-4bec-8ff5-08ef100a9e5d	"electronica"	6
dcaedaf8-b460-4966-8a05-1a080a6734fb	"hardcore"	100
dcaedaf8-b460-4966-8a05-1a080a6734fb	"melodic hardcore"	100
dcaedaf8-b460-4966-8a05-1a080a6734fb	"fast melodic-hardcore"	46
dcaedaf8-b460-4966-8a05-1a080a6734fb	"psytrance"	38
dcaedaf8-b460-4966-8a05-1a080a6734fb	"punk rock"	23
dcaedaf8-b460-4966-8a05-1a080a6734fb	"Full On Night"	15
dcaedaf8-b460-4966-8a05-1a080a6734fb	"Forest Psytrance"	15
dcaedaf8-b460-4966-8a05-1a080a6734fb	"shiva"	15
dcaedaf8-b460-4966-8a05-1a080a6734fb	"melodic-hardcore"	15
dcaedaf8-b460-4966-8a05-1a080a6734fb	"dark psytrance"	15
dcaedaf8-b460-4966-8a05-1a080a6734fb	"full-on"	15
a58d6509-7716-4b2f-a145-c642144bbd76	"doom metal"	100
a58d6509-7716-4b2f-a145-c642144bbd76	"depressive rock"	78
a58d6509-7716-4b2f-a145-c642144bbd76	"Gothic Rock"	39
a58d6509-7716-4b2f-a145-c642144bbd76	"Gothic Metal"	38
a58d6509-7716-4b2f-a145-c642144bbd76	"melancholic"	35
a58d6509-7716-4b2f-a145-c642144bbd76	"german"	18
a58d6509-7716-4b2f-a145-c642144bbd76	"atmospheric rock"	10
a58d6509-7716-4b2f-a145-c642144bbd76	"black metal"	8
a58d6509-7716-4b2f-a145-c642144bbd76	"trip rock"	6
a58d6509-7716-4b2f-a145-c642144bbd76	"metal"	6
a58d6509-7716-4b2f-a145-c642144bbd76	"rock"	6
cb1ca13a-4821-4e66-aff0-0fd6b3dc9a81	"country"	100
cb1ca13a-4821-4e66-aff0-0fd6b3dc9a81	"singer-songwriter"	54
cb1ca13a-4821-4e66-aff0-0fd6b3dc9a81	"folk"	39
cb1ca13a-4821-4e66-aff0-0fd6b3dc9a81	"classic country"	29
cb1ca13a-4821-4e66-aff0-0fd6b3dc9a81	"americana"	26
cb1ca13a-4821-4e66-aff0-0fd6b3dc9a81	"outlaw country"	11
cb1ca13a-4821-4e66-aff0-0fd6b3dc9a81	"Kris Kristofferson"	10
cb1ca13a-4821-4e66-aff0-0fd6b3dc9a81	"male vocalists"	4
cb1ca13a-4821-4e66-aff0-0fd6b3dc9a81	"american"	4
cb1ca13a-4821-4e66-aff0-0fd6b3dc9a81	"70s"	4
cb1ca13a-4821-4e66-aff0-0fd6b3dc9a81	"Alt-country"	3
95927574-d2b9-4756-b7d6-09b3c248c311	"hardcore"	100
95927574-d2b9-4756-b7d6-09b3c248c311	"Nu Metal"	64
95927574-d2b9-4756-b7d6-09b3c248c311	"hardcore punk"	49
95927574-d2b9-4756-b7d6-09b3c248c311	"rock"	49
95927574-d2b9-4756-b7d6-09b3c248c311	"punk"	47
95927574-d2b9-4756-b7d6-09b3c248c311	"metal"	30
95927574-d2b9-4756-b7d6-09b3c248c311	"alternative rock"	22
95927574-d2b9-4756-b7d6-09b3c248c311	"alternative metal"	20
95927574-d2b9-4756-b7d6-09b3c248c311	"alternative"	13
95927574-d2b9-4756-b7d6-09b3c248c311	"youth crew"	13
95927574-d2b9-4756-b7d6-09b3c248c311	"spanish"	11
f5625c87-5a62-4b3b-a375-fe08a71acddc	"gospel"	100
f5625c87-5a62-4b3b-a375-fe08a71acddc	"blues"	90
f5625c87-5a62-4b3b-a375-fe08a71acddc	"soul"	46
f5625c87-5a62-4b3b-a375-fe08a71acddc	"female vocalists"	40
f5625c87-5a62-4b3b-a375-fe08a71acddc	"guitar"	25
f5625c87-5a62-4b3b-a375-fe08a71acddc	"jazz"	9
f5625c87-5a62-4b3b-a375-fe08a71acddc	"folk"	7
f5625c87-5a62-4b3b-a375-fe08a71acddc	"sister rosetta tharpe"	6
f5625c87-5a62-4b3b-a375-fe08a71acddc	"All"	4
f5625c87-5a62-4b3b-a375-fe08a71acddc	"spiritual"	4
f5625c87-5a62-4b3b-a375-fe08a71acddc	"Female Guitarist"	3
4a41c200-153b-4158-87b3-db0fea627e2c	"comedy"	100
4a41c200-153b-4158-87b3-db0fea627e2c	"stand-up"	41
4a41c200-153b-4158-87b3-db0fea627e2c	"spoken word"	33
4a41c200-153b-4158-87b3-db0fea627e2c	"stand-up comedy"	33
4a41c200-153b-4158-87b3-db0fea627e2c	"funny"	20
4a41c200-153b-4158-87b3-db0fea627e2c	"George Lopez"	8
4a41c200-153b-4158-87b3-db0fea627e2c	"np"	4
4a41c200-153b-4158-87b3-db0fea627e2c	"Chicano"	4
4a41c200-153b-4158-87b3-db0fea627e2c	"feel my latin roots"	4
4a41c200-153b-4158-87b3-db0fea627e2c	"what goes on around here"	4
4a41c200-153b-4158-87b3-db0fea627e2c	"EPIC WIN"	4
d43d12a1-2dc9-4257-a2fd-0a3bb1081b86	"country"	100
d43d12a1-2dc9-4257-a2fd-0a3bb1081b86	"folk"	55
d43d12a1-2dc9-4257-a2fd-0a3bb1081b86	"singer-songwriter"	43
d43d12a1-2dc9-4257-a2fd-0a3bb1081b86	"classic rock"	29
d43d12a1-2dc9-4257-a2fd-0a3bb1081b86	"rock"	24
d43d12a1-2dc9-4257-a2fd-0a3bb1081b86	"americana"	8
d43d12a1-2dc9-4257-a2fd-0a3bb1081b86	"Alt-country"	8
d43d12a1-2dc9-4257-a2fd-0a3bb1081b86	"blues"	6
d43d12a1-2dc9-4257-a2fd-0a3bb1081b86	"Johnny Cash"	6
d43d12a1-2dc9-4257-a2fd-0a3bb1081b86	"american"	5
d43d12a1-2dc9-4257-a2fd-0a3bb1081b86	"rockabilly"	5
6d2e94ff-76f7-45f7-a7ce-9fe724952b8b	"deathrock"	100
6d2e94ff-76f7-45f7-a7ce-9fe724952b8b	"Gothic Rock"	78
6d2e94ff-76f7-45f7-a7ce-9fe724952b8b	"darkwave"	42
6d2e94ff-76f7-45f7-a7ce-9fe724952b8b	"Gothic"	24
6d2e94ff-76f7-45f7-a7ce-9fe724952b8b	"goth"	12
6d2e94ff-76f7-45f7-a7ce-9fe724952b8b	"goth rock"	6
6d2e94ff-76f7-45f7-a7ce-9fe724952b8b	"metal"	6
6d2e94ff-76f7-45f7-a7ce-9fe724952b8b	"powergoth"	3
6d2e94ff-76f7-45f7-a7ce-9fe724952b8b	"Alice in"	3
6d2e94ff-76f7-45f7-a7ce-9fe724952b8b	"under 2000 listeners"	3
6d2e94ff-76f7-45f7-a7ce-9fe724952b8b	"zawodzenie"	3
3ab20833-bea6-4972-9e83-14599e3666a1	"House"	100
3ab20833-bea6-4972-9e83-14599e3666a1	"dance"	73
3ab20833-bea6-4972-9e83-14599e3666a1	"trance"	59
3ab20833-bea6-4972-9e83-14599e3666a1	"electronic"	55
3ab20833-bea6-4972-9e83-14599e3666a1	"Progressive House"	41
3ab20833-bea6-4972-9e83-14599e3666a1	"Portugal"	14
3ab20833-bea6-4972-9e83-14599e3666a1	"vocal trance"	13
3ab20833-bea6-4972-9e83-14599e3666a1	"portuguese"	10
3ab20833-bea6-4972-9e83-14599e3666a1	"club"	8
3ab20833-bea6-4972-9e83-14599e3666a1	"Rui Da Silva"	7
3ab20833-bea6-4972-9e83-14599e3666a1	"Tony Dark Eyes"	5
110500b0-78a7-41cb-8535-9f37ab35a902	"breakcore"	100
110500b0-78a7-41cb-8535-9f37ab35a902	"idm"	98
110500b0-78a7-41cb-8535-9f37ab35a902	"electronica"	68
110500b0-78a7-41cb-8535-9f37ab35a902	"noise"	60
110500b0-78a7-41cb-8535-9f37ab35a902	"Drum and bass"	51
110500b0-78a7-41cb-8535-9f37ab35a902	"electronic"	26
110500b0-78a7-41cb-8535-9f37ab35a902	"experimental"	25
110500b0-78a7-41cb-8535-9f37ab35a902	"Warp"	13
110500b0-78a7-41cb-8535-9f37ab35a902	"beats"	11
110500b0-78a7-41cb-8535-9f37ab35a902	"electro"	7
110500b0-78a7-41cb-8535-9f37ab35a902	"hyperbeat"	6
f4847b22-6278-4963-aae6-43f6958ec261	"chanson francaise"	100
f4847b22-6278-4963-aae6-43f6958ec261	"chanson"	56
f4847b22-6278-4963-aae6-43f6958ec261	"french"	47
f4847b22-6278-4963-aae6-43f6958ec261	"oldies"	30
f4847b22-6278-4963-aae6-43f6958ec261	"male vocalists"	21
f4847b22-6278-4963-aae6-43f6958ec261	"Chanson Franaise"	17
f4847b22-6278-4963-aae6-43f6958ec261	"Mouloudji"	13
f4847b22-6278-4963-aae6-43f6958ec261	"special to me songs"	8
f4847b22-6278-4963-aae6-43f6958ec261	"All"	8
f4847b22-6278-4963-aae6-43f6958ec261	"quartier latin"	8
f4847b22-6278-4963-aae6-43f6958ec261	"chanson francophone"	8
c11db213-a40e-43c1-b2b7-cc2f0f08cb5b	"psychill"	100
c11db213-a40e-43c1-b2b7-cc2f0f08cb5b	"dub"	83
c11db213-a40e-43c1-b2b7-cc2f0f08cb5b	"psychedelic"	58
c11db213-a40e-43c1-b2b7-cc2f0f08cb5b	"ambient"	50
c11db213-a40e-43c1-b2b7-cc2f0f08cb5b	"cosmic mojo"	41
c11db213-a40e-43c1-b2b7-cc2f0f08cb5b	"psybient"	33
c11db213-a40e-43c1-b2b7-cc2f0f08cb5b	"Space Ambient"	25
c11db213-a40e-43c1-b2b7-cc2f0f08cb5b	"light"	25
c11db213-a40e-43c1-b2b7-cc2f0f08cb5b	"Voodoo Dub"	16
c11db213-a40e-43c1-b2b7-cc2f0f08cb5b	"medi"	16
c11db213-a40e-43c1-b2b7-cc2f0f08cb5b	"meditative"	16
d1de79d5-3ca3-42f5-8d82-fbc71a76ec93	"christian"	100
d1de79d5-3ca3-42f5-8d82-fbc71a76ec93	"folk"	38
d1de79d5-3ca3-42f5-8d82-fbc71a76ec93	"singer-songwriter"	34
d1de79d5-3ca3-42f5-8d82-fbc71a76ec93	"easy listening"	28
d1de79d5-3ca3-42f5-8d82-fbc71a76ec93	"inspirational"	28
d1de79d5-3ca3-42f5-8d82-fbc71a76ec93	"Michael Card"	10
d1de79d5-3ca3-42f5-8d82-fbc71a76ec93	"worship"	10
d1de79d5-3ca3-42f5-8d82-fbc71a76ec93	"contemporary christian"	8
d1de79d5-3ca3-42f5-8d82-fbc71a76ec93	"faith-inspired"	6
d1de79d5-3ca3-42f5-8d82-fbc71a76ec93	"gospel"	6
d1de79d5-3ca3-42f5-8d82-fbc71a76ec93	"Christian Music"	6
acf836d7-c773-40ee-860b-5f4024e8e97f	"percussion"	100
acf836d7-c773-40ee-860b-5f4024e8e97f	"rhythmic"	57
acf836d7-c773-40ee-860b-5f4024e8e97f	"Drum"	57
acf836d7-c773-40ee-860b-5f4024e8e97f	"world"	42
acf836d7-c773-40ee-860b-5f4024e8e97f	"world fusion"	28
acf836d7-c773-40ee-860b-5f4024e8e97f	"polyrhythm"	28
acf836d7-c773-40ee-860b-5f4024e8e97f	"jazz"	14
acf836d7-c773-40ee-860b-5f4024e8e97f	"saxophone"	14
acf836d7-c773-40ee-860b-5f4024e8e97f	"Fusion"	14
acf836d7-c773-40ee-860b-5f4024e8e97f	"World Music"	14
acf836d7-c773-40ee-860b-5f4024e8e97f	"ethnic"	14
f1e23fa9-87f0-44ed-a46d-c91f72a9bbd8	"soul"	100
f1e23fa9-87f0-44ed-a46d-c91f72a9bbd8	"northern soul"	44
f1e23fa9-87f0-44ed-a46d-c91f72a9bbd8	"Chicago Soul"	22
f1e23fa9-87f0-44ed-a46d-c91f72a9bbd8	"60s"	22
f1e23fa9-87f0-44ed-a46d-c91f72a9bbd8	"Funky 16 Corners"	16
f1e23fa9-87f0-44ed-a46d-c91f72a9bbd8	"chicago"	11
f1e23fa9-87f0-44ed-a46d-c91f72a9bbd8	"male vocalists"	11
f1e23fa9-87f0-44ed-a46d-c91f72a9bbd8	"pop"	11
f1e23fa9-87f0-44ed-a46d-c91f72a9bbd8	"Big City Soul"	5
f1e23fa9-87f0-44ed-a46d-c91f72a9bbd8	"cac-soul"	5
f1e23fa9-87f0-44ed-a46d-c91f72a9bbd8	"theasoul"	5
af308783-61fb-492b-9c37-a8cf48f2f064	"Hip-Hop"	100
af308783-61fb-492b-9c37-a8cf48f2f064	"rap"	92
af308783-61fb-492b-9c37-a8cf48f2f064	"Gangsta Rap"	64
af308783-61fb-492b-9c37-a8cf48f2f064	"Bone thugs"	44
af308783-61fb-492b-9c37-a8cf48f2f064	"hip hop"	33
af308783-61fb-492b-9c37-a8cf48f2f064	"Bizzy Bone"	15
af308783-61fb-492b-9c37-a8cf48f2f064	"midwest rap"	10
af308783-61fb-492b-9c37-a8cf48f2f064	"bone thugs-n-harmony"	10
af308783-61fb-492b-9c37-a8cf48f2f064	"Ohio"	8
af308783-61fb-492b-9c37-a8cf48f2f064	"Midwest"	7
af308783-61fb-492b-9c37-a8cf48f2f064	"G-funk"	7
44419ff2-0251-49ba-933b-b09733ff9adb	"country"	100
44419ff2-0251-49ba-933b-b09733ff9adb	"classic country"	36
44419ff2-0251-49ba-933b-b09733ff9adb	"singer-songwriter"	25
44419ff2-0251-49ba-933b-b09733ff9adb	"american"	19
44419ff2-0251-49ba-933b-b09733ff9adb	"male vocalists"	12
44419ff2-0251-49ba-933b-b09733ff9adb	"rockabilly"	9
44419ff2-0251-49ba-933b-b09733ff9adb	"jerry reed"	5
44419ff2-0251-49ba-933b-b09733ff9adb	"rock"	4
44419ff2-0251-49ba-933b-b09733ff9adb	"folk"	3
44419ff2-0251-49ba-933b-b09733ff9adb	"country rock"	3
44419ff2-0251-49ba-933b-b09733ff9adb	"Truckin"	2
c7d13c98-8896-4105-b68d-698d4f54ffcd	"hip hop"	100
c7d13c98-8896-4105-b68d-698d4f54ffcd	"All"	75
c7d13c98-8896-4105-b68d-698d4f54ffcd	"hawaii"	75
c7d13c98-8896-4105-b68d-698d4f54ffcd	"Justin Lo"	50
c7d13c98-8896-4105-b68d-698d4f54ffcd	"reggae"	50
c7d13c98-8896-4105-b68d-698d4f54ffcd	"pop"	50
c7d13c98-8896-4105-b68d-698d4f54ffcd	"cookies"	50
c7d13c98-8896-4105-b68d-698d4f54ffcd	"alex fong"	50
c7d13c98-8896-4105-b68d-698d4f54ffcd	"Hawaiian"	50
c7d13c98-8896-4105-b68d-698d4f54ffcd	"hawaiian reggae"	25
c7d13c98-8896-4105-b68d-698d4f54ffcd	"jawaiian"	25
6dd5961a-16e7-4f03-8385-b251e12f9698	"Sludge"	100
6dd5961a-16e7-4f03-8385-b251e12f9698	"doom metal"	57
6dd5961a-16e7-4f03-8385-b251e12f9698	"Stoner Rock"	49
6dd5961a-16e7-4f03-8385-b251e12f9698	"stoner metal"	33
6dd5961a-16e7-4f03-8385-b251e12f9698	"stoner"	30
6dd5961a-16e7-4f03-8385-b251e12f9698	"metal"	22
6dd5961a-16e7-4f03-8385-b251e12f9698	"sludge metal"	14
6dd5961a-16e7-4f03-8385-b251e12f9698	"Doom"	12
6dd5961a-16e7-4f03-8385-b251e12f9698	"heavy"	8
6dd5961a-16e7-4f03-8385-b251e12f9698	"rock"	8
6dd5961a-16e7-4f03-8385-b251e12f9698	"florida"	4
cb87bb99-3092-4be5-a515-ce8b0699f66f	"composer"	100
cb87bb99-3092-4be5-a515-ce8b0699f66f	"score"	85
cb87bb99-3092-4be5-a515-ce8b0699f66f	"funk"	57
cb87bb99-3092-4be5-a515-ce8b0699f66f	"Soundtrack"	28
cb87bb99-3092-4be5-a515-ce8b0699f66f	"spotify"	28
cb87bb99-3092-4be5-a515-ce8b0699f66f	"soul"	14
cb87bb99-3092-4be5-a515-ce8b0699f66f	"instrumental"	14
cb87bb99-3092-4be5-a515-ce8b0699f66f	"cinematic"	14
